prvdr_num,hospital_name,address,city,state,zip_code,lat,lon
10001,SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE DOTHAN, AL",DOTHAN,AL,36301,31.214058,-85.361725
10006,ELIZA COFFEE MEMORIAL HOSPITAL,"205 MARENGO STREET FLORENCE, AL",FLORENCE,AL,35631,34.79366,-87.684348
10007,MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST OPP, AL",OPP,AL,36467,31.291972,-86.255415
10008,CRENSHAW COMMUNITY HOSPITAL,"101 HOSPITAL CIRCLE LUVERNE, AL",LUVERNE,AL,36049,31.692595,-86.266156
10011,ST VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE BIRMINGHAM, AL",BIRMINGHAM,AL,35235,33.595351,-86.665182
10016,SHELBY BAPTIST MEDICAL CENTER,"1000 FIRST STREET NORTH ALABASTER, AL",ALABASTER,AL,35007,33.253679,-86.814261
10018,CALLAHAN EYE HOSPITAL,"1720 UNIVERSITY BLVD BIRMINGHAM, AL",BIRMINGHAM,AL,35233,33.503137,-86.802401
10019,HELEN KELLER MEMORIAL HOSPITAL,"1300 SOUTH MONTGOMERY AVENUE SHEFFIELD, AL",SHEFFIELD,AL,35660,34.748249,-87.698866
10021,DALE MEDICAL CENTER,"126 HOSPITAL AVE OZARK, AL",OZARK,AL,36360,31.451345,-85.630966
10022,FLOYD CHEROKEE MEDICAL CENTER,"400 NORTHWOOD DR CENTRE, AL",CENTRE,AL,35960,34.162761,-85.65142
10023,BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD MONTGOMERY, AL",MONTGOMERY,AL,36116,32.327144,-86.276764
10024,JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET MONTGOMERY, AL",MONTGOMERY,AL,36106,32.366605,-86.285267
10029,EAST ALABAMA MEDICAL CENTER,"2000 PEPPERELL PARKWAY OPELIKA, AL",OPELIKA,AL,36801,32.638055,-85.404003
10032,TANNER MEDICAL CENTER-EAST ALABAMA,"1032 MAIN STREET SOUTH WEDOWEE, AL",WEDOWEE,AL,36278,33.296666,-85.480028
10033,UNIVERSITY OF ALABAMA HOSPITAL,"619 SOUTH 19TH STREET BIRMINGHAM, AL",BIRMINGHAM,AL,35233,33.533411,-86.704736
10034,COMMUNITY HOSPITAL INC,"805 FRIENDSHIP ROAD TALLASSEE, AL",TALLASSEE,AL,36078,32.535293,-85.911996
10035,CULLMAN REGIONAL MEDICAL CENTER,"1912 ALABAMA HIGHWAY 157 CULLMAN, AL",CULLMAN,AL,35058,34.198587,-86.805641
10036,ANDALUSIA HEALTH,"849 SOUTH THREE NOTCH STREET ANDALUSIA, AL",ANDALUSIA,AL,36420,31.297462,-86.495599
10038,STRINGFELLOW MEMORIAL HOSPITAL,"301 EAST 18TH ST ANNISTON, AL",ANNISTON,AL,36201,33.667701,-85.825025
10039,HUNTSVILLE HOSPITAL,"101 SIVLEY RD HUNTSVILLE, AL",HUNTSVILLE,AL,35801,34.721226,-86.581547
10040,GADSDEN REGIONAL MEDICAL CENTER,"1007 GOODYEAR AVENUE GADSDEN, AL",GADSDEN,AL,35903,34.009389,-85.96752
10044,MARION REGIONAL MEDICAL CENTER,"1256 MILITARY STREET SOUTH HAMILTON, AL",HAMILTON,AL,35570,34.125852,-87.989806
10045,FAYETTE MEDICAL CENTER,"1653 TEMPLE AVENUE NORTH FAYETTE, AL",FAYETTE,AL,35555,33.707708,-87.823706
10046,RIVERVIEW REGIONAL MEDICAL CENTER,"600 SOUTH THIRD STREET GADSDEN, AL",GADSDEN,AL,35901,34.003811,-86.004086
10047,GEORGIANA MEDICAL CENTER,"515 N MIRANDA AVENUE GEORGIANA, AL",GEORGIANA,AL,36033,31.636334,-86.742751
