class,type
1,Short-term (General and Specialty) Hospitals
2,Short-term (General and Specialty) Hospitals
3,Short-term (General and Specialty) Hospitals
4,Short-term (General and Specialty) Hospitals
5,Short-term (General and Specialty) Hospitals
6,Short-term (General and Specialty) Hospitals
7,Short-term (General and Specialty) Hospitals
8,Short-term (General and Specialty) Hospitals
9,Short-term (General and Specialty) Hospitals
10,Short-term (General and Specialty) Hospitals
11,Short-term (General and Specialty) Hospitals
12,Short-term (General and Specialty) Hospitals
13,Short-term (General and Specialty) Hospitals
14,Short-term (General and Specialty) Hospitals
15,Short-term (General and Specialty) Hospitals
16,Short-term (General and Specialty) Hospitals
17,Short-term (General and Specialty) Hospitals
18,Short-term (General and Specialty) Hospitals
19,Short-term (General and Specialty) Hospitals
20,Short-term (General and Specialty) Hospitals
21,Short-term (General and Specialty) Hospitals
22,Short-term (General and Specialty) Hospitals
23,Short-term (General and Specialty) Hospitals
24,Short-term (General and Specialty) Hospitals
25,Short-term (General and Specialty) Hospitals
26,Short-term (General and Specialty) Hospitals
27,Short-term (General and Specialty) Hospitals
28,Short-term (General and Specialty) Hospitals
29,Short-term (General and Specialty) Hospitals
30,Short-term (General and Specialty) Hospitals
31,Short-term (General and Specialty) Hospitals
32,Short-term (General and Specialty) Hospitals
33,Short-term (General and Specialty) Hospitals
34,Short-term (General and Specialty) Hospitals
35,Short-term (General and Specialty) Hospitals
36,Short-term (General and Specialty) Hospitals
37,Short-term (General and Specialty) Hospitals
38,Short-term (General and Specialty) Hospitals
39,Short-term (General and Specialty) Hospitals
40,Short-term (General and Specialty) Hospitals
41,Short-term (General and Specialty) Hospitals
42,Short-term (General and Specialty) Hospitals
43,Short-term (General and Specialty) Hospitals
44,Short-term (General and Specialty) Hospitals
45,Short-term (General and Specialty) Hospitals
46,Short-term (General and Specialty) Hospitals
47,Short-term (General and Specialty) Hospitals
48,Short-term (General and Specialty) Hospitals
49,Short-term (General and Specialty) Hospitals
50,Short-term (General and Specialty) Hospitals
51,Short-term (General and Specialty) Hospitals
52,Short-term (General and Specialty) Hospitals
53,Short-term (General and Specialty) Hospitals
54,Short-term (General and Specialty) Hospitals
55,Short-term (General and Specialty) Hospitals
56,Short-term (General and Specialty) Hospitals
57,Short-term (General and Specialty) Hospitals
58,Short-term (General and Specialty) Hospitals
59,Short-term (General and Specialty) Hospitals
60,Short-term (General and Specialty) Hospitals
61,Short-term (General and Specialty) Hospitals
62,Short-term (General and Specialty) Hospitals
63,Short-term (General and Specialty) Hospitals
64,Short-term (General and Specialty) Hospitals
65,Short-term (General and Specialty) Hospitals
66,Short-term (General and Specialty) Hospitals
67,Short-term (General and Specialty) Hospitals
68,Short-term (General and Specialty) Hospitals
69,Short-term (General and Specialty) Hospitals
70,Short-term (General and Specialty) Hospitals
71,Short-term (General and Specialty) Hospitals
72,Short-term (General and Specialty) Hospitals
73,Short-term (General and Specialty) Hospitals
74,Short-term (General and Specialty) Hospitals
75,Short-term (General and Specialty) Hospitals
76,Short-term (General and Specialty) Hospitals
77,Short-term (General and Specialty) Hospitals
78,Short-term (General and Specialty) Hospitals
79,Short-term (General and Specialty) Hospitals
80,Short-term (General and Specialty) Hospitals
81,Short-term (General and Specialty) Hospitals
82,Short-term (General and Specialty) Hospitals
83,Short-term (General and Specialty) Hospitals
84,Short-term (General and Specialty) Hospitals
85,Short-term (General and Specialty) Hospitals
86,Short-term (General and Specialty) Hospitals
87,Short-term (General and Specialty) Hospitals
88,Short-term (General and Specialty) Hospitals
89,Short-term (General and Specialty) Hospitals
90,Short-term (General and Specialty) Hospitals
91,Short-term (General and Specialty) Hospitals
92,Short-term (General and Specialty) Hospitals
93,Short-term (General and Specialty) Hospitals
94,Short-term (General and Specialty) Hospitals
95,Short-term (General and Specialty) Hospitals
96,Short-term (General and Specialty) Hospitals
97,Short-term (General and Specialty) Hospitals
98,Short-term (General and Specialty) Hospitals
99,Short-term (General and Specialty) Hospitals
100,Short-term (General and Specialty) Hospitals
101,Short-term (General and Specialty) Hospitals
102,Short-term (General and Specialty) Hospitals
103,Short-term (General and Specialty) Hospitals
104,Short-term (General and Specialty) Hospitals
105,Short-term (General and Specialty) Hospitals
106,Short-term (General and Specialty) Hospitals
107,Short-term (General and Specialty) Hospitals
108,Short-term (General and Specialty) Hospitals
109,Short-term (General and Specialty) Hospitals
110,Short-term (General and Specialty) Hospitals
111,Short-term (General and Specialty) Hospitals
112,Short-term (General and Specialty) Hospitals
113,Short-term (General and Specialty) Hospitals
114,Short-term (General and Specialty) Hospitals
115,Short-term (General and Specialty) Hospitals
